,job_title,company,experience,salary,location,description,tags_associated,function_area,posting_date,scarping_date
0,Senior Process Associate - General Ledger,OutsourcingHubIndia(OHI),2-4 Yrs,2.25-3.5 Lacs PA,"Noida, Faridabad, Delhi / NCR", General working shift Should have excellent Verbal and Written Communication Skills (sh...,General Accounting,Accounts Finalisation Bank Reconciliation process reconciliation general ledger general ledger accounting reporting,3 Days Ago,2023-03-07
1,Executive / Sr. Executive / Asst. Manager - Finance & Accounts,CMR Green Technologies,2-4 Yrs,3-6 Lacs PA,Pune, Adequate experience to perform accounting process with ERP which is equivalent to the s...,General Accounting,corporate taxation tds assistance finance and accounts general finance general ledger,2 Days Ago,2023-03-07
2,Account Executive,Shipco It,06 Mar - 10 Mar,Not disclosed,Pune, RequirementsThis opportunity is suitable for proactive talents with good innovative ski...,accounting,Accounts Receivable Bank Reconciliation Accounts Payable voucher making receivable general reconciliation,1 Day Ago,2023-03-07
3,Inviting application For Process associate | Accounts payable | Pune,Genpact,0-3 Yrs,Not disclosed,Pune, Graduate in Commerce (Bachelors in Commerce) Freshers are eligible Minimum qualificatio...,accounts payable,invoice processing Procure To Pay PTP P2P application invoicing process,1 Day Ago,2023-03-07
4,Accounts - Asst. Manager / Sr. Executive,Machino Plastics,0-5 Yrs,Not disclosed,Delhi / NCR(IMT Manesar)," Knowledge of Part costing, Internal audits, managing recievables, GST Return, Reconcila...",management,assistance accounting sr,2 Days Ago,2023-03-07
5,Associate - Accounting,SKP Business Consulting LLP,0-1 Yrs,Not disclosed,Pune," Accountspayable Routineaccounting, bill passing, and payment processing Reconciliation-...",payments,processing tally microsoft bank reconciliation payment processing hrsd vendor,1 Day Ago,2023-03-07
6,Students Loan and Accounts - Executive,Offshore Accounting & Taxation Services Private Limited,0-1 Yrs,Not disclosed,Pune, Candidate should possess good English writing and speaking skill. .,communication skills,accounting coordination coordination skills,12 Days Ago,2023-03-07
7,Applications For the post of Executive  SAP Accounts Payable,Topsource Infotech Solutions,0-5 Yrs,1-4.5 Lacs PA,Pune, Job applications are invited for the post of Executive – SAP (Accounts Payable) in TopS...,Accounts,sap sap fi sap accounting fi accounts payable payables sap fico,4 Days Ago,2023-03-07
8,Applications For the post of Executive Accounts Payable,Topsource Infotech Solutions,0-5 Yrs,1-3 Lacs PA,Pune, Job applications are invited for the post of Executive – Accounts Payable in TopSource....,Accounts,ptp application payables accounting post po p2p,4 Days Ago,2023-03-07
9,Applications For the post of Executive Accounts Payable,Topsource Infotech Solutions,0-5 Yrs,1-3 Lacs PA,Pune, Job applications are invited for the post of Executive Accounts Payable in TopSource.We...,AP,processing post purchase requisition payables procure to pay po invoicing,4 Days Ago,2023-03-07
10,Executive Accounts Payable,Topsource Infotech Solutions,0-5 Yrs,1-3 Lacs PA,Pune, Timing : UK Shift . . Email id :pawan.burman@topsourceworldwide.com . . . . . . Must be...,AP,procure to pay accounting invoice processing p2p accounts payable payables payments,4 Days Ago,2023-03-07
11,Transaction Processing Executive-Accounts/Finance and capital market,Mphasis,0-3 Yrs,Not disclosed,Bangalore/Bengaluru, Any graduate . . . . Good and sound knowledge of Capital Market Concepts preferably US ...,Capital Market,Accounting Operations Finance Operation non voice accounting voice processing transaction processing,5 Days Ago,2023-03-07
12,"Senior Analyst, Accounting",BNY Mellon,0-3 Yrs,Not disclosed,Pune, Modified based upon local regulations / requirements . . Bachelors degree or equivalent...,improvement,gaap journal research analysis accounting auditing financial planning,10 Days Ago,2023-03-07
13,Account Executive,Total Earth Solutions,0-5 Yrs,1.25-4 Lacs PA,"Pune, Mumbai (All Areas)", Experience (Yrs * Experience in SAP is Mandatory,general,general ledger sap general ledger accounting accounting ledger ledger accounting,11 Days Ago,2023-03-07
14,Account Executive,Paytm,0-2 Yrs,Not disclosed,Mumbai, . - Accounting Knowledge . . . . - Proficient with tally . . . . - Exceptional with MS-...,reconciliation,accounting sap finance excel administration tally Accounts Executive,6 Days Ago,2023-03-07
15,Account Executive,Marriott,0-2 Yrs,Not disclosed,Indore," Check figures, postings, and documents for accuracy Organize, secure, and maintain all ...",management,handling cash auditing cash handling vendor finance payroll,3 Days Ago,2023-03-07
16,Accounts Executive,Tata Cliq,0-4 Yrs,Not disclosed,Mumbai," MBA Finance, MCom with a minimum of 3+ years of experience . Excellent written and verb...",management,fixed asset accounting asset data management accessories auditing continuous improvement mis,Few Hours Ago,2023-03-07
17,Accounts Executive,Nspira Management Services,09 Mar - 11 Mar,"50,000-2 Lacs PA",Hyderabad/Secunderabad, Roles and Responsibilities : Maintaninence of books of accounts as per norms Verificati...,accounting,ms office bank reconciliation reconciliation cash book keeping office petty cash,1 Day Ago,2023-03-07
18,Account Executive,Vplak India,0-3 Yrs,2-4 Lacs PA,Gurgaon/Gurugram, Yearly bonus . . . . FRESHERS / INTERNS - Stipend (8k- 15k )(3month) Note: Preference w...,Accounting,Laser GST book keeping tally management tds stock,1 Day Ago,2023-03-07
19,Accounts Executive - Banking,SK Finance,0-4 Yrs,2-4 Lacs PA,Jaipur," Roles and Responsibilities Checking Payments for Authorization, Interest Working on Cas...",Accounts,banking accounting reconciliation bank reconciliation,Few Hours Ago,2023-03-07
20,Senior Accounts Executive,Offshore Accounting & Taxation Services,3-5 Yrs,Not disclosed,Pune, SAP Experience is preferred,general ledger accounting,TDS SAP Gst general ledger receivable accounting senior,7 Days Ago,2023-03-07
21,Architect and Interior Designer,Milestone Consultants,0-3 Yrs,Not disclosed,Bangalore/Bengaluru(Shanti Nagar), Required Architects / Interior Designers with a BArch degree or D.Arch (Bachelors in In...,project management,CAD bill certification management interior designing architectural design project boq preparation,7 Days Ago,2023-03-07
22,Sr Designer : Interior/Exterior/BIW/Sunroof/HVAC/Seating,Satven,3-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai", 3 to 10 years of experience with Catia- V5 (Surfacing / Solid modelling / Drawing/ Asse...,catia v5,design plastic door trims sr interior trims injection closure,3 Days Ago,2023-03-07
23,Architect / Interior designer (Only Female),R N Interiors / design ace,3-5 Yrs,3-5 Lacs PA,Bangalore/Bengaluru, The key responsibilities include meeting clients for Design visualizing and sketching d...,sketchup,architectural design interior designing design photoshop lumion interiors autocad,1 Day Ago,2023-03-07
24,Interior Designer,M/S Karribean Overseas,0-5 Yrs,1.75-2.25 Lacs PA,Kanpur Nagar," Candidate shall be well versed with Autocad, Sketchup and V-ray, Photoshop and MS offic...",interior designing,AutoCAD Candidate shall be well versed with Autocad vray revit design interiors auto,10 Days Ago,2023-03-07
25,Junior Architect and Interior Designer,Designwoods Studio,0-3 Yrs,"50,000-2.25 Lacs PA","Mumbai Suburban, Thane, Mumbai (All Areas)"," Should be proficient in designing interiors, architecture, drawings, site supervision, ...",autocad,ms office site supervision architecture architectural design working drawings sketchup interior designing,14 Days Ago,2023-03-07
26,Junior Interior Designer,RCPC,0-1 Yrs,Not disclosed,New Delhi," We are looking for an interior designer fresher or experienced, hardworking with all th...",technical design,tool design tools technical interior designing interiors design Interior Design,6 Days Ago,2023-03-07
27,Architect and Interior Designer,Adorn Design Studio ,0-5 Yrs,1.5-5 Lacs PA,Faridabad, Roles and Responsibilities - Design and coordination with principal Architect/Designer ...,Designing coordination with principal Architect site visit can work on 2d and 3d,site interiors 3d studio max 2d 3ds max draw drawing,13 Days Ago,2023-03-07
28,Senior Interior Designer,Olive Space,1-3 Yrs,4-5.5 Lacs PA,Hyderabad/Secunderabad(Jubilee Hills), The candidate will have end-to-end experience in managing a project with the necessary ...,Sketchup,Communication Skills production drawings presentation skills interiors client drawing production,2 Days Ago,2023-03-07
29,Architects with flair towards Interior Designing,Rajiv Goel & Associates,2-5 Yrs,Not disclosed,Noida(Sector-55 Noida), Roles aAnd Responsibilities Architects to work on Various Interior Designing Projects i...,interior designing,architecture outsourcing architectural design interiors autocad design Architects with B.Arch Qualification and high Proficiency in AutoCAD. Experience in Outsourcing Companies will be preferred.,1 Day Ago,2023-03-07
30,"Interior designer: Lumion, Sketch UP Expert",rennovate.co.in,0-4 Yrs,2.5-4 Lacs PA,Mumbai(Fort)," Knowing Sketch up must, Lumion is MUST Architects with a BArch degree-preferred. . . . ...",sketch up,lumion architectural design interior designing design cad sketching interiors,15 Days Ago,2023-03-07
31,Interior Designer,Thomas Associates,2-5 Yrs,Not disclosed,Bangalore/Bengaluru," ResponsibilitiesUndertake design project from concept to completion, determine the clie...",3D Max,AutoCAD Interior Designing time 3ds max design time managements management skills,1 Day Ago,2023-03-07
32,Interior Designer,Aacord,1-2 Yrs,Not disclosed,"Pune, dhayari", Diploma / Bachelor in Interior Designing. . Good with Auto-cad and Sketch Up Software. ...,autocad,interiors 3d studio max 3ds max 3d designing design sketchup 3d,3 Days Ago,2023-03-07
33,Interior Designer,Aryan Interiors,0-2 Yrs,Not disclosed,"Gujarat, Karnataka, Tamil Nadu, Maharashtra"," We are looking for a candidate who is good in Computer Aided Designing (CAD), PowerPoin...",Interior Designing,powerpoint layout 2d design interiors cad excel,14 Days Ago,2023-03-07
34,Interior Designer,YH Engineering,0-5 Yrs,1.75-3.5 Lacs PA,"Noida, Greater Noida(Sector Gamma Gr Noida +2)", Bike Most required for site supervision. . Should be serious and dedicated towards his ...,interior designing,Autocad 2D/3D Google Sketch up interior designer Architecture DESIGN photoshop sketchup 3d studio max,12 Days Ago,2023-03-07
35,Immediate openings For Interior Designer-Freshers,People Prime Worldwide,0-1 Yrs,Not disclosed,Hyderabad/Secunderabad," Interior designers make indoor spaces functional, safe, and beautiful by determining sp...",interior designing,architectural design design interiors architecture interior decoration,12 Days Ago,2023-03-07
36,CAD Designer ( Corporate interiors),Space Matrix Design Consultants,3-5 Yrs,Not disclosed,Mumbai," You should provide test-fit layouts, general arrangements and detailed technical drawin...",cad drawing,software testing corporate planning time management space planning technical documentation,5 Days Ago,2023-03-07
37,Interior Designer,Myfuturejobs,2-4 Yrs,Not disclosed,Jaipur, Should have a strong design sensibility and the technical ability to develop a project ...,consulting,recruitment consulting design architecture electricals recruitment engineering interiors,1 Day Ago,2023-03-07
38,Interior Designer,Pencil Monk,1-3 Yrs,Not disclosed,Chennai, Pencil Monk is a space experiential design firm and our happy place. The organization i...,cad,3ds max interior designing photoshop interiors design 3DSmax,1 Day Ago,2023-03-07
39,Interior Designer,Decorpot,1-4 Yrs,Not disclosed,Coimbatore, Job Title:Interior DesignerQualification:B Arch / M Arch or Bachelors degree in Interio...,Residential,Modular Kitchen Interior Designing modular sketchup autocad interiors design,1 Day Ago,2023-03-07
40,Interior Designer/Assistant Architect,Select Q,0-3 Yrs,Not disclosed,Faridabad, Interior designer will be responsible for making AutoCAD Drawings for various residenti...,AutoCAD,Interior Designing autocad 2d interior architecture assistance 2d design architecture,6 Days Ago,2023-03-07
41,Fresher Content Writing Jobs | Copy Writer Job- Work from Home Mumbai,Advids,0-4 Yrs,1.75-4.25 Lacs PA,"Temp. WFH - Kochi/Cochin, Pune, Mumbai (All Areas)", About Advids & Your Role as Content WriterAdvids helps businesses globally create video...,Content Writing,Creative Writing Copy Writing communication skills writing proof reading scripting story writing,Just Now,2023-03-07
42,Fresher Content Writing Jobs | Copy Writer Job- Work from Home Kolkata,Advids,0-4 Yrs,1.75-4.25 Lacs PA,"Temp. WFH - Kolkata, Bangalore/Bengaluru, Delhi / NCR", About Advids & Your Role as Content WriterAdvids helps businesses globally create video...,Content Writing,Creative Writing Copy Writing script writing editing creative content video content,Just Now,2023-03-07
43,Fresher Content Writing Jobs | Copy Writer Job- Work from Home Delhi,Advids,0-4 Yrs,1.75-4.25 Lacs PA,"Temp. WFH - Chennai, Coimbatore, Delhi / NCR", About Advids & Your Role as Content WriterAdvids helps businesses globally create video...,Content Writing,Creative Writing Copy Writing communication skills blogs script writing video scripting,Just Now,2023-03-07
44,Content Writer,Riser Techub,0-0 Yrs,"50,000-1 Lacs PA",Pune(Baner), Exp :- Freshers Required,content writing,Web Content Writing Blog Writing social media content writer seo content web content,2 Days Ago,2023-03-07
45,Content Writer,Oxper Martech ,0-4 Yrs,2.25-3.5 Lacs PA,Gurgaon/Gurugram, Proficient in all Microsoft Office applicationsProven content writing or copywriting ex...,Content Strategy,content development content writing Web Content Writing social media blogs writing seo,1 Day Ago,2023-03-07
46,Psychology || Academic Content Writer || Contractual,Evelyn Learning Systems,0-1 Yrs,1.75-2.5 Lacs PA,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Roles and Responsibilities 1. To create error free, step by step solutions of the subje...",subject matter expertise,psychology writing content development content subject academic writing content writing,7 Days Ago,2023-03-07
47,Content Writer,Realizer Technologics,0-1 Yrs,2.25-4.5 Lacs PA,Pune(North Hadapsar)," We are urgently looking for content writer Fresher Bachelors degree in Marketing, Engli...",Content Creation,Blogs Web Content Writing Content Writing web content writing content web technologies,1 Day Ago,2023-03-07
48,Content writer (WFH/remote),Talkvalley,0-5 Yrs,3.5-8.5 Lacs PA,"Noida, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," As a content writer, you will be responsible for creating high-quality content that eng...",Content Writing,writing blog writing development remote web content content development copy writing,3 Days Ago,2023-03-07
49,Content Writer,Portalwiz Technologies,0-2 Yrs,1.75-3.25 Lacs PA,Pune(Pimpri), Able to study and analyze the scripts / concepts to understand the required mood and ov...,Instructional Design,Content Creation english writing content writing storyboarding development teaching,5 Days Ago,2023-03-07
50,Content Writer - Advertising Business,Okda Solutions,0-5 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR"," Responsibilities :- Research industry-related topics (combining online sources, intervi...",content management systems,writing content writing management management systems marketing development content management,7 Days Ago,2023-03-07
51,Content Writer - Advertising Business,Okda Solutions,0-5 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", We are hiring Content Writer for our client company which is a leader in Advertisement ...,Blogging,Editorial writing management content writing marketing development content management,7 Days Ago,2023-03-07
52,Content Writer - Advertising Business,Okda Solutions,0-5 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru", We are hiring Content Writer for our client company which is a leader in Advertisement ...,Blogging,Editorial management content management advertising writing content marketing blogs,7 Days Ago,2023-03-07
53,Content Writer,Young Nomads Infotech,0-2 Yrs,1.25-2.25 Lacs PA,Permanent Remote," Requirements : . . Bachelors degree in English, Journalism, Communications, Marketing, ...",Content Writing,seo writing blogs blog posting writing content posting article writing,2 Days Ago,2023-03-07
54,"Content Writer, Content developer, Content writing, SEO Writing",Expert Outsource,2-6 Yrs,2.5-5 Lacs PA,Permanent Remote, Candidates should have a portfolio of published articles and possess knowledge of SEO a...,content writing,Blog Writing content development editing web content blogs creative writing web content writing,2 Days Ago,2023-03-07
55,Content Writer,Choice International,0-2 Yrs,Not disclosed,Mumbai," You have: . . Bachelors degree in English, Journalism or related field Experience doing...",Content Writing,seo writing seo blog writing stock editing stock market content editing,1 Day Ago,2023-03-07
56,Wakefit || Hiring For Content Writer Intern(Remote),Wakefit Innovations,0-2 Yrs,Not disclosed,Bangalore/Bengaluru(Koramangala), Wakefit is looking for a talented content writing intern to join our teamAs a content w...,SEO Writing,Creative Writing Content Editing content writing proof reading remote marketing writing,3 Days Ago,2023-03-07
57,SEO Writer/ Content writer- US IT MNC- Pune - Immediate joiner,Mid size US IT MNC,0-2 Yrs,Not disclosed,Hybrid - Pune," Should have the basic understanding of Keyword relevancy, density and placement and oth...",SEO Writing,SEO Article Writing site analysis searching content optimization digital marketing search engine optimization,4 Days Ago,2023-03-07
58,Content Writer,Pixel Media,0-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Qualifications and Education Requirements: . . Bachelors degree in communications, mark...",writing,content writing marketing strategy marketing sales research development analytics,11 Days Ago,2023-03-07
59,Statistics - Academic Content Writer - SME || WFH,Evelyn Learning Systems,0-1 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR", Roles and Responsibilities 1. Primary content development work will be of well-explaine...,academics,content development content english statistics languages sme english language,10 Days Ago,2023-03-07
60,Content Writer -eCommerce,Revolux Solutions,0-1 Yrs,Not disclosed,"Temp. WFH - Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR"," Intern Responsibilities & Activities : 1.Write interesting posts around technology, eCo...",Content Writing,management creative social media content management writing media creative writing,12 Days Ago,2023-03-07
61,Physician and Consultant,"Vairag Multispeciality Hospital ,vairag",02 Mar - 11 Mar,22.5-35 Lacs PA,"Pune, Bangalore/Bengaluru, Mumbai (All Areas)"," Roles and Responsibilities ICU Management, Desired Candidate ProfileM.B.B.S MD Perks an...",icu,consulting critical care management icu management and critical care management of all faculties,6 Days Ago,2023-03-07
62,Consultant :: Gastroenterology,Fortis,0-2 Yrs,Not disclosed,Amritsar, We Urgently required Consultant Gastroenterology.Qualification :- DM (Gastroenterology)...,Gastroenterology,consulting,6 Days Ago,2023-03-07
63,Study Abroad Consultant,Guidance Plus Educational Services,0-5 Yrs,Not disclosed,Kochi/Cochin, Recruit new students to International colleges & Universities. . Evaluates Recruitment ...,student counseling,overseas education counselling education consulting admissions admission counselling business development,6 Days Ago,2023-03-07
64,CONSULTANT,Macro Technosoft,0-5 Yrs,Not disclosed,New Delhi, Undertake short-term or long-term projects to address a variety of issues and needs Mee...,center,consulting hrsd counselling Counsellor HR Head Counsellor Center Head,3 Days Ago,2023-03-07
65,Consultant - GRO,IGT Solutions,5-10 Yrs,Not disclosed,"Mumbai, Nagpur, Thane, Nasik/Nashik, Pune, Aurangabad"," Bachelors degree, preferably in Accounting . . . . . . QUALIFICATION . . . . BE / B Tec...",software testing,system analysis change management management business analysis application support gap analysis application,1 Day Ago,2023-03-07
66,Consultant,Pama Network,0-5 Yrs,14-24 Lacs PA,madhya pradesh, REQUIRED EXPERIENCE. . . . experience should be from recognized permitted medical colle...,Cardiology,Urology consulting,1 Day Ago,2023-03-07
67,Consultant  Radiologist/ DMRD,Krishna Consultants,0-5 Yrs,Not disclosed,"Dispur, Assam"," Explaining sonographic procedures to patients, answering questions, preparing patients ...",radiology,monitoring mdt consulting MD Consultant DMRD,7 Days Ago,2023-03-07
68,Consultant  Radiologist / DMRD,Krishna Consultants,0-5 Yrs,Not disclosed,Panipat," Explaining sonographic procedures to patients, answering questions, preparing patients ...",sonographic,consulting sonography pathology pathological sonograms Sonologist DMRD Radiologist,7 Days Ago,2023-03-07
69,Consultant Sonologist/ Radiologist,Krishna Consultants,0-5 Yrs,Not disclosed,Visakhapatnam," Explaining sonographic procedures to patients, answering questions, preparing patients ...",Diagnostics,Radiologist Medical Records radiology emergency medical consulting sonography,7 Days Ago,2023-03-07
70,Consultant  Radiologist/ DMRD,Krishna Consultants,0-5 Yrs,Not disclosed,Goalpara," Explaining sonographic procedures to patients, answering questions, preparing patients ...",radiology,consulting diagnostics sonography Radiologist DMRD Sonologist diagnostic purposes,7 Days Ago,2023-03-07
71,Consultant Neurosurgeon/Neurophysician,People Alliance Workforce,0-5 Yrs,Not disclosed,"Indore, Jabalpur, Ahmedabad", He/ She must be responsible for performing surgeries to assist in rectifying medical co...,Neurology,Neurosurgery Spine Surgery hospital medical consulting healthcare spine,4 Days Ago,2023-03-07
72,Consultant,KPMG India,0-5 Yrs,Not disclosed,Mumbai (All Areas), Professionals with industry experience or experience in US GAAP/ UK GAAP/ Luxemburg GAA...,GAAP,Qualified CA financial statements ca accounting consulting finance Accountant,11 Days Ago,2023-03-07
73,Consultant,Personnel Search Services,0-4 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad"," Depending on your experience, maturity and industry knowledge, we hire consultants at d...",management,consulting cxo analytics stakeholder engagement operations investment agile,4 Days Ago,2023-03-07
74,Consultant,Optanium It Services,0-4 Yrs,Not disclosed,Chennai, 1+ years of web application development experience including strong working knowledge o...,Node.Js,React.Js consulting javascript,7 Days Ago,2023-03-07
75,Consultant,Grant Thornton,3-4 Yrs,Not disclosed,Gurgaon/Gurugram," Bachelors or Masters Degree in Computer Science, Information Systems, Engineering or a ...",monitoring,information security firewall troubleshooting incident management root cause analysis management incident,1 Day Ago,2023-03-07
76,Consultant Rheumatology,Medanta Hospital ,0-5 Yrs,Not disclosed,Indore, Candidates with relevant work experience in Rheumatology would be preferred. . . . . Ex...,rheumatology,consulting clinical,10 Days Ago,2023-03-07
77,IVF Consultant/ Gynecologist,People Alliance Workforce,0-5 Yrs,Not disclosed,"Udaipur, Indore, Ahmedabad"," The gynecologists responsibilities include performing breast examinations, prescribing ...",Gynecology,healthcare medical diagnostics laparoscopic surgery ivf surgery laparoscopy,11 Days Ago,2023-03-07
78,Consultant Doctor/Branch Manager - Viman Nagar,BERKOWITS HAIR & SKIN CLINIC,2-3 Yrs,3.5-4.75 Lacs PA,Pune(Viman Nagar), What you'll do : To develop as complete skin and hair Counselor and provide consultatio...,Mesotherapy,Laser Skin Hair Transplant Business Development management inhouse sales sales,6 Days Ago,2023-03-07
79,Consultant,SLK Software,8-10 Yrs,Not disclosed,Bangalore/Bengaluru," 1. Interact with business and technical stakeholders to understand requirements, challe...",sdlc,ms office visio word root cause analysis science microsoft consulting,1 Day Ago,2023-03-07
80,CA Consultant (Qualified CA Required ),KP Hr And Infra Services,0-3 Yrs,6-9 Lacs PA,Pune, Client requirement gathering Preparing the GAP list Listing the customization Data migr...,ERP Implementation,Client Interfacing Skills SAP Implementation Client Interaction CA sap integration consulting,7 Days Ago,2023-03-07
81,Executive (Export & Import) : 2 Vacancies,BSB Brokers Llp,0-5 Yrs,1.25-1.75 Lacs PA,"Gandhinagar, Nadiad, Ahmedabad(Jaspur +304)"," . BCOM, MBA Graduate or Postgraduate in any disciplineGathering Requirement of Importer...",export import,procurement sales material management intelligence export trade purchase management,6 Days Ago,2023-03-07
82,Export import executive,Agarwal Job Placement,1-7 Yrs,Not disclosed,Surat," The Import Manager also negotiates with carriers, warehouse operators, or distribution ...",export import,import documentation documentation recruitment customs clearing merchandising import,5 Days Ago,2023-03-07
83,Logistic (Import and Export) - Executive,Ecliptic Hr Solutions,3-7 Yrs,Not disclosed,Pune, Experience: 3 years to 7 years,Export Documentation,International Logistics Export Import Logistics Logistics Operations Export Import Documentation import logistics clearing export,3 Days Ago,2023-03-07
84,Export - Import  Executive,Drychem Solution,2-7 Yrs,2-7 Lacs PA,"Mumbai, Navi Mumbai, Kalyan/Dombivli"," EXPORT - IMPORT EXECUTIVE SALARY - UPTO 6-7 LPALCATION - GHANSOLI , NAVI MUMBAI ROLES &...",EXIM,export import cha import export import export,10 Days Ago,2023-03-07
85,Manager - Exports Imports,Tanish Global,3-8 Yrs,6-8 Lacs PA,Aurangabad," Candidate will have pivotal authoritative role in organization's Customs, DGFT, EXIM Op...",Export Import,import logistics apt trade internet dgft international logistics export import documentation,1 Day Ago,2023-03-07
86,Import & Export Asst Manager / Manager,SV Management Consultants,7-10 Yrs,8-10 Lacs PA,"Indore, Pune", Job Description : Experience in Import & Exports.Must have experience in Production Pla...,Export Documentation,PPC Import International Export Export Sales fabrication costing fifo,14 Days Ago,2023-03-07
87,Import and Export Executive,Shri Sai Commodities,1-5 Yrs,Not disclosed,Indore, Roles and ResponsibilitiesJOB profile for Export Import Executive ( Requirements:.Desir...,Good Communication/Convincing skills,communication skills export import import export import export commodities,13 Days Ago,2023-03-07
88,Executive Export & Import,Prism Manpower Services,4-8 Yrs,Not disclosed,"Mumbai, Thane"," Vendor development, Price Negotiation of Capex / Consumables/Maintenance items . . Work...",epcg,export export documentation vendor packaging price negotiation vendor development documentation,30+ Days Ago,2023-03-07
89,Export & Import Executive,Lakshya Hr Solutions,2-5 Yrs,Not disclosed,Ludhiana," Handling EXIM activity - import Export shipments Cordination with CHA, Transporter, fre...",Export Documentation,Export Export Import Export Marketing export sales management customs documentation customs,12 Days Ago,2023-03-07
90,Executive - Export & Import,Mangalam Placement,6-8 Yrs,Not disclosed,Mumbai, Knowledge of Banking & L.C documentation . . Must have hands on experience in applicati...,management,dgft export import team management operations management exim exim policy import,27 Days Ago,2023-03-07
91,Export Import Executive (Male Navi Mumbai Only),Simosis International,5-7 Yrs,3.5-4.5 Lacs PA,Navi Mumbai, Candidates having experience in Export-Import Logistics Candidates having experience in...,Logistics Operations,import logistics export import export operations transportation warehouse,25 Days Ago,2023-03-07
92,Export & Import Executive -New Delhi,Key Life Sciences,5-10 Yrs,Not disclosed,Delhi / NCR," - Should be Graduate in Business / Commerce/Engineering - Independently handle, write a...",Operations Management,import export advance licence import management custom dgft import customs,25 Days Ago,2023-03-07
93,Executive Export Import,Nobel Hygiene,4-6 Yrs,Not disclosed,Mumbai (All Areas), . Any Graduate Should must have experience in EXIM industryRoles and Responsibilities P...,EXIM Policy,EXIM Cha import export export documentation import documentation import documentation,18 Days Ago,2023-03-07
94,Export-Import Executive,Quality Hr Services,2-3 Yrs,Not disclosed,Vapi, Good understanding of sales and marketing strategiesBuild relationships with leading sh...,export,management budget management international erp exim trade import,30+ Days Ago,2023-03-07
95,Export- Import Executive,7 Consultancy,1-3 Yrs,Not disclosed,"Imphal, Ahmedabad", DETAILS Export-Import documentation workPreparing all export & import documents like In...,coo,export export documentation import documentation logistics coordination packaging documentation freight,30+ Days Ago,2023-03-07
96,Export/ Import Executive,Ravi Placements,1-2 Yrs,Not disclosed,Vadodara, Order Approval and ExecutionFollow upmonitoring with productionPreparation of documenta...,export,dgft export documentation import documentation documentation export import documentation lead generation inspection,30+ Days Ago,2023-03-07
97,Export Import Executive,Star Vision Placement,3-6 Yrs,Not disclosed,Jaipur, Can Handle All Export / Import Related Work.,export import,import export export import Executive Export & Import,30+ Days Ago,2023-03-07
98,Marketing Executive Export import,Aarna Group,2-5 Yrs,Not disclosed,Ahmedabad, Marketing Executive Export import Market research sourcing find new buyers follow suppl...,export,management research market research relationship relationship marketing supply chain management supply,30+ Days Ago,2023-03-07
99,Export Import Executive,Kavya Management Services,2-5 Yrs,Not disclosed,"Ghaziabad, Greater Noida", Controlling Import/ Export procedures and documentations (PRE-POST SHIMENTS) Coordinati...,export import,export documentation import documentation documentation export import documentation excel management freight,30+ Days Ago,2023-03-07
100,Operation Executive Export/Import,S & J Group,1-4 Yrs,Not disclosed,Trivandrum/Thiruvananthapuram, Experience in Freight forwarding and clearance .,export,operations administration packaging freight clearing export management import export,30+ Days Ago,2023-03-07
101,Merchandiser,Nilkamal,1-6 Yrs,Not disclosed,Mumbai (All Areas)(Marol), This Role includes but would be not limited to: Improve top line for your category.(Kit...,merchandising,,2 Days Ago,2023-03-07
102,Hiring For- Project manager/Merchandiser,TYA Business Solutions Pvt Ltd,3-5 Yrs,Not disclosed,Bangalore/Bengaluru," Requirements . . Bachelors degree in Textile, Fashion, Designing Must inspect all sampl...",sampling,technical services fabric fashion designing fashion packaging buyer communication trimming,2 Days Ago,2023-03-07
103,Merchandiser,ETE Clothings,0-1 Yrs,2-2.5 Lacs PA,New Delhi, Roles and Responsibilities Basic understanding of fabric types Any college pass out can...,merchandising,,5 Days Ago,2023-03-07
104,Merchandiser - Women Indian,Fabindia,5-10 Yrs,Not disclosed,Jaipur, Job Title: Merchandiser (WI). . Role in the organization: Merchandiser for Women Indian...,product development,sampling quality management vendor quality control merchandising control,3 Days Ago,2023-03-07
